,name,lat,long
0,EKT,19.4091,-99.125
1,OXXO,19.42550714,-99.16678277
2,OXXO,19.42624264,-99.12945209
3,OXXO,19.36756679,-99.18878003
4,OXXO,19.42956936,-99.17416008
5,OXXO,19.44847385,-99.13851629
6,OXXO,19.38851306,-99.13327951
7,OXXO,19.359703399999997,-99.17093575
8,Gasolinera,19.4523088,-99.1460744
9,OXXO,19.36112702,-99.15131557
10,OXXO,19.3959125,-99.18557933
11,OXXO,19.38775808,-99.177542
12,OXXO,19.39776303,-99.21728754
13,OXXO,19.38567737,-99.18627845
14,Gasolinera,19.3813992,-99.15881585
15,OXXO,19.40247252,-99.14495929
16,OXXO,19.40863086,-99.19770895
17,OXXO,19.38918252,-99.14668341
18,OXXO,19.38379382,-99.17066485
19,OXXO,19.42428737,-99.15369878
20,OXXO,19.41432715,-99.15444185
21,OXXO,19.451802800000003,-99.20067943
22,OXXO,19.40114455,-99.16227123
23,OXXO,19.41905451,-99.17097989
24,EKT,19.379175,-99.140539
25,Gasolinera,19.4454951,-99.2012898
26,Gasolinera,19.4550383,-99.1876415
27,OXXO,19.40618872,-99.15974821
28,OXXO,19.39350336,-99.17579736
29,OXXO,19.38623176,-99.15178003
30,OXXO,19.41846902,-99.13853059
31,OXXO,19.41101691,-99.17764203
32,OXXO,19.41632348,-99.18118174
33,OXXO,19.43297677,-99.15542591
34,OXXO,19.43559785,-99.13807232
35,Oxxo,19.4338176,-99.1910214
36,Liverpool Polanco,19.433664594834504,-99.18272253157257
37,Liverpool Parque Delta,19.403345381746988,-99.15491190543504
38,Fabricas de Francia,19.44821,-99.1523056
39,Pemex,19.4206978,-99.2180618
40,Sam's Club,19.465113044774327,-99.15639904761812
41,Bodega Aurrera Express,19.367582044178143,-99.14075329323444
42,oxxo,19.42840843,-99.22864766
43,EKT,19.41787,-99.164047
44,EKT,19.3729,-99.1897
45,EKT,19.44434,-99.16762299999999
46,EKT,19.429797,-99.210746
47,EKT,19.365617999999998,-99.18134
48,EKT,19.42989,-99.137173
49,EKT,19.457953,-99.183431
