,usuarios,n_baterias,n_estaciones,cambios_bateria
0,10,50.0,50,98.0
1,20,50.0,50,190.0
2,30,50.0,50,262.0
3,40,50.0,50,451.0
4,50,50.0,50,511.0
5,60,50.0,50,492.0
6,70,50.0,50,631.0
7,80,50.0,50,771.0
8,90,50.0,50,867.0
9,100,50.0,50,978.0
10,110,50.0,50,928.0
11,120,50.0,50,949.0
12,130,50.0,50,1267.0
13,140,50.0,50,1157.0
14,150,50.0,50,1295.0
15,160,50.0,50,1466.0
16,170,50.0,50,1629.0
17,180,50.0,50,1863.0
18,190,50.0,50,1751.0
19,200,50.0,50,1969.0
20,210,50.0,50,1758.0
21,220,50.0,50,1924.0
22,230,50.0,50,1960.0
23,240,54.0,50,2399.0
24,250,52.0,50,2231.0
25,260,53.0,50,2439.0
26,270,57.0,50,2571.0
27,280,63.0,50,2608.0
28,290,62.0,50,2710.0
29,300,66.0,50,2962.0
30,310,60.0,50,2537.0
31,320,62.0,50,3006.0
32,330,72.0,50,3025.0
33,340,70.0,50,3301.0
34,350,67.0,50,3206.0
35,360,73.0,50,3334.0
36,370,88.0,50,3289.0
37,380,74.0,50,3331.0
38,390,86.0,50,3963.0
39,400,89.0,50,3879.0
40,410,79.0,50,3749.0
41,420,86.0,50,3701.0
42,430,70.0,50,3789.0
43,440,89.0,50,3919.0
44,450,101.0,50,4281.0
45,460,92.0,50,4099.0
46,470,92.0,50,4179.0
47,480,107.0,50,4056.0
48,490,105.0,50,4429.0
49,500,111.0,50,4633.0
50,510,116.0,50,4680.0
51,520,101.0,50,4774.0
52,530,124.0,50,5220.0
53,540,110.0,50,5079.0
54,550,109.0,50,4604.0
55,560,104.0,50,5079.0
56,570,115.0,50,5365.0
57,580,114.0,50,5349.0
58,590,118.0,50,5453.0
59,600,122.0,50,5312.0
60,610,134.0,50,5420.0
61,620,114.0,50,5375.0
62,630,141.0,50,5902.0
63,640,114.0,50,5726.0
64,650,123.0,50,6217.0
65,660,137.0,50,5997.0
66,670,135.0,50,5955.0
67,680,144.0,50,6646.0
68,690,137.0,50,6500.0
69,700,155.0,50,6594.0
70,710,131.0,50,6692.0
71,720,154.0,50,7228.0
72,730,130.0,50,6171.0
73,740,146.0,50,6968.0
74,750,168.0,50,6891.0
75,760,156.0,50,7102.0
76,770,157.0,50,7082.0
77,780,161.0,50,6815.0
78,790,177.0,50,7251.0
79,800,150.0,50,7370.0
80,810,163.0,50,7338.0
81,820,165.0,50,7358.0
82,830,160.0,50,7581.0
83,840,171.0,50,7764.0
84,850,167.0,50,7705.0
85,860,162.0,50,8096.0
86,870,167.0,50,7584.0
87,880,171.0,50,7796.0
88,890,159.0,50,8007.0
89,900,161.0,50,7883.0
90,910,177.0,50,8542.0
91,920,178.0,50,8486.0
92,930,187.0,50,8810.0
93,940,164.0,50,8044.0
94,950,171.0,50,8701.0
95,960,185.0,50,8839.0
96,970,189.0,50,8720.0
97,980,178.0,50,8704.0
98,990,188.0,50,9129.0
99,1000,194.0,50,8835.0
100,1010,182.0,50,8997.0
101,1020,190.0,50,9086.0
102,1030,204.0,50,9427.0
103,1040,201.0,50,9444.0
104,1050,203.0,50,9614.0
105,1060,201.0,50,9757.0
106,1070,206.0,50,9789.0
107,1080,208.0,50,10031.0
108,1090,198.0,50,10143.0
109,1100,195.0,50,9789.0
110,1110,199.0,50,9716.0
111,1120,214.0,50,10544.0
112,1130,211.0,50,10246.0
113,1140,207.0,50,10410.0
114,1150,219.0,50,10649.0
115,1160,223.0,50,10375.0
116,1170,222.0,50,10726.0
117,1180,233.0,50,10970.0
118,1190,240.0,50,11083.0
119,1200,243.0,50,11217.0
120,1210,241.0,50,10458.0
121,1220,230.0,50,11077.0
122,1230,238.0,50,11291.0
123,1240,215.0,50,10661.0
124,1250,227.0,50,11204.0
125,1260,248.0,50,11649.0
126,1270,244.0,50,11397.0
127,1280,237.0,50,11495.0
128,1290,251.0,50,12163.0
129,1300,231.0,50,11574.0
130,1310,258.0,50,11765.0
131,1320,249.0,50,11800.0
132,1330,255.0,50,11935.0
133,1340,262.0,50,12072.0
134,1350,241.0,50,12058.0
135,1360,266.0,50,12263.0
