KM,Servicio,Refacciones,MO Prev,U.T. Correctivo,MO Corr,Total
500,1,0,249.4,0,0,249.4
2000,2,0,290,0,0,290
4000,3,0,290,0,0,290
6000,4,0,290,0,0,290
9000,5,0,290,0,0,290
12000,6,827.0452,290,8,324.8,1441.8452
15000,7,0,290,0,0,290
18000,8,0,290,0,0,290
21000,9,827.0452,290,8,324.8,1441.8452
24000,10,0,290,0,0,290
27000,11,0,290,0,0,290
30000,12,827.0452,290,8,324.8,1441.8452
33000,13,0,290,0,0,290
36000,14,0,290,8,324.8,614.8
39000,15,827.0452,290,8,324.8,1441.8452
42000,16,0,290,0,0,290
45000,17,0,290,0,0,290
48000,18,827.0452,290,8,324.8,1441.8452
51000,19,0,290,0,0,290
54000,20,0,290,0,0,290
57000,21,827.0452,290,8,324.8,1441.8452
60000,22,0,290,0,0,290
63000,23,0,290,0,0,290
66000,24,827.0452,290,8,324.8,1441.8452
69000,25,0,290,0,0,290
72000,26,0,290,0,0,290
75000,27,827.0452,290,8,324.8,1441.8452
78000,28,0,290,0,0,290
81000,29,0,290,0,0,290
84000,30,827.0452,290,8,324.8,1441.8452
87000,31,0,290,0,0,290
90000,32,0,290,0,0,290
93000,33,827.0452,290,8,324.8,1441.8452
96000,34,0,290,0,0,290
99000,35,0,290,0,0,290
102000,36,827.0452,290,8,324.8,1441.8452
105000,37,0,290,0,0,290
108000,38,0,290,0,0,290
111000,39,827.0452,290,8,324.8,1441.8452
114000,40,0,290,0,0,290
117000,41,0,290,0,0,290
120000,42,827.0452,290,8,324.8,1441.8452
123000,43,0,290,0,0,290
126000,44,0,290,0,0,290
129000,45,827.0452,290,8,324.8,1441.8452
132000,46,0,290,0,0,290
135000,47,0,290,0,0,290
138000,48,827.0452,290,8,324.8,1441.8452
141000,49,0,290,0,0,290
144000,50,0,290,0,0,290
147000,51,827.0452,290,8,324.8,1441.8452
150000,52,0,290,0,0,290
