KM,Servicio,Refacciones,MO Prev,U.T. Correctivo,MO Corr,Total
500,1,75.9568,249.4,0,0,325.3568
2000,2,96.6512,290,0,0,386.6512
4000,3,96.6512,290,0,0,386.6512
6000,4,96.6512,290,0,0,386.6512
9000,5,134.8616,290,0,0,424.8616
12000,6,923.6964,290,8,324.8,1538.4964
15000,7,678.2752,290,4,162.4,1130.6752
18000,8,134.8616,290,0,0,424.8616
21000,9,923.6964,290,8,324.8,1538.4964
24000,10,96.6512,290,0,0,386.6512
27000,11,716.4856,290,4,162.4,1168.8856
30000,12,988.5868,290,11,446.6,1725.1868
33000,13,96.6512,290,0,0,386.6512
36000,14,1287.5652,290,8,324.8,1902.3652
39000,15,1505.3204,290,10,406,2201.3204
42000,16,96.6512,290,0,0,386.6512
45000,17,134.8616,290,0,0,424.8616
48000,18,923.6964,290,8,324.8,1538.4964
51000,19,678.2752,290,4,162.4,1130.6752
54000,20,134.8616,290,0,0,424.8616
57000,21,923.6964,290,8,324.8,1538.4964
60000,22,161.5416,290,3,121.8,573.3416
63000,23,716.4856,290,4,162.4,1168.8856
66000,24,2076.4,290,16,649.6,3016
69000,25,96.6512,290,0,0,386.6512
72000,26,134.8616,290,0,0,424.8616
75000,27,1505.3204,290,10,406,2201.3204
78000,28,96.6512,290,0,0,386.6512
81000,29,134.8616,290,0,0,424.8616
84000,30,923.6964,290,8,324.8,1538.4964
87000,31,678.2752,290,4,162.4,1130.6752
90000,32,199.752,290,3,121.8,611.552
93000,33,923.6964,290,8,324.8,1538.4964
96000,34,1249.3548,290,8,324.8,1864.1548
99000,35,716.4856,290,4,162.4,1168.8856
102000,36,923.6964,290,8,324.8,1538.4964
105000,37,96.6512,290,0,0,386.6512
108000,38,134.8616,290,0,0,424.8616
111000,39,1505.3204,290,10,406,2201.3204
114000,40,96.6512,290,0,0,386.6512
117000,41,134.8616,290,0,0,424.8616
120000,42,988.5868,290,11,446.6,1725.1868
123000,43,678.2752,290,4,162.4,1130.6752
126000,44,1287.5652,290,8,324.8,1902.3652
129000,45,923.6964,290,8,324.8,1538.4964
132000,46,96.6512,290,0,0,386.6512
135000,47,716.4856,290,4,162.4,1168.8856
138000,48,923.6964,290,8,324.8,1538.4964
141000,49,96.6512,290,0,0,386.6512
144000,50,134.8616,290,0,0,424.8616
147000,51,1505.3204,290,10,406,2201.3204
150000,52,161.5416,290,3,121.8,573.3416
